Feature,Importance
tenure,0.1738759636715197
TotalCharges,0.14521050742729183
MonthlyCharges,0.10481248581558521
Contract_Two year,0.09975449119366792
InternetService_Fiber optic,0.06804668887485552
PaymentMethod_Electronic check,0.05051083992924047
Contract_One year,0.04068536098606117
OnlineSecurity_Yes,0.03441133157667594
TechSupport_Yes,0.02474911196249135
PaperlessBilling_Yes,0.019492840698966986
TechSupport_No internet service,0.017699953087868835
DeviceProtection_No internet service,0.01676875798830704
OnlineSecurity_No internet service,0.015302001914742675
OnlineBackup_Yes,0.015185000392193546
Dependents_Yes,0.014861720135106895
StreamingMovies_No internet service,0.014621052527153962
gender_Male,0.014576306526447787
Partner_Yes,0.013182952256546428
StreamingTV_No internet service,0.012824740866467534
MultipleLines_Yes,0.012484121984406734
SeniorCitizen,0.011088196605847443
StreamingMovies_Yes,0.011064059994699548
DeviceProtection_Yes,0.010937643191707178
PaymentMethod_Credit card (automatic),0.010504165947306262
StreamingTV_Yes,0.010219402642595797
InternetService_No,0.010077604198730992
PaymentMethod_Mailed check,0.009716710445962356
OnlineBackup_No internet service,0.00935726413721272
MultipleLines_No phone service,0.004066140972028179
PhoneService_Yes,0.003912582048312169
